Mês,Empresa,Linha,Estudante_Cartao,Estudante_BT,Vale_Transporte,Integracao_Plena,Integracao_Complementar,Gratuito_Cartao,Gratuito_BT,Inteira_Cartao,Inteira_Especie,Tarifa_Social,Qtd_Viagens
1,CONCEIÇÃO,21,11169,7863,32762,6703,0,17682,7353,6527,35691,0,3537
1,CONCEIÇÃO,30,7523,4418,21097,4866,0,7444,2953,5332,17327,0,2286
1,CONCEIÇÃO,31,8766,4718,22312,6936,0,7946,2964,5702,16927,0,2115
1,CONCEIÇÃO,41,6947,3000,20759,8297,0,6356,3056,4614,12607,0,2012
1,CONCEIÇÃO,59,6980,5547,19552,6045,271,13701,4673,4976,25883,0,2517
1,CONCEIÇÃO,63,21155,11393,48180,14986,0,17699,6292,8178,34767,0,3675
1,CONCEIÇÃO,76,2501,1548,7540,1389,78,3622,934,1594,7245,0,615
1,CONCEIÇÃO,83,3550,2787,13757,1274,0,2952,1098,2630,13697,0,1147
1,CONCEIÇÃO,411,3550,1863,7441,2866,0,3132,1048,2108,7502,0,795
1,CONCEIÇÃO,412,1334,552,1836,624,0,1174,349,539,1821,0,372
1,CONCEIÇÃO,587,1545,82,892,779,0,1492,175,465,1186,0,1060
1,CONCEIÇÃO,599,7412,3304,16547,5963,84,7290,1192,4932,11766,0,1656
1,CONCEIÇÃO,905,132,145,922,26,0,213,21,93,775,0,231
1,CONCEIÇÃO,2271,8781,6408,26735,5160,0,17777,6691,6044,30945,0,3027
1,CONCEIÇÃO,2369,605,289,1633,661,0,1158,453,372,1214,0,391
1,CONCEIÇÃO,3001,1276,721,3856,1297,0,1336,579,907,2839,0,569
1,CONCEIÇÃO,3101,594,353,1893,773,0,506,224,408,1173,0,291
1,CONCEIÇÃO,6301,3070,1778,10836,2183,0,2943,1059,2057,6651,0,874
1,CONCEIÇÃO,7601,76,54,251,44,0,125,53,42,329,0,19
1,DUNAS - URB,33,26978,16028,73677,19268,276,21257,7541,18179,60211,0,4231
1,DUNAS - URB,40,20110,12448,49995,15891,133,31975,12134,11741,58391,0,4128
1,DUNAS - URB,57,231,129,903,696,0,449,248,156,435,0,507
1,DUNAS - URB,331,7314,3902,16816,3357,95,5617,2007,5214,14068,0,1300
1,DUNAS - URB,332,1696,875,4666,933,0,1258,411,1334,2845,0,617
1,DUNAS - URB,411,1723,818,3559,1389,0,1593,662,1033,3170,0,403
1,DUNAS - URB,412,1515,540,1728,524,0,1244,307,500,1809,0,366
1,GUANABARA - URB,2,10628,7087,39286,6897,276,9657,3731,6618,26344,0,2717
1,GUANABARA - URB,4,5562,4978,29419,5641,0,4305,2595,4187,18287,0,2069
1,GUANABARA - URB,5,4438,2700,15078,1975,60,5378,2578,2790,16056,0,1762
1,GUANABARA - URB,8,17059,10729,58609,19246,601,20353,6894,10502,48869,0,3410
1,GUANABARA - URB,13,3137,1657,7665,2009,81,3687,1399,2011,7612,0,1471
1,GUANABARA - URB,18,76,23,526,84,0,59,24,92,160,0,76
1,GUANABARA - URB,19,3104,2278,11130,3002,0,8889,3887,2219,12069,0,1694
1,GUANABARA - URB,20,3716,2575,10647,2415,0,10300,5475,2655,12858,0,1915
1,GUANABARA - URB,25,2523,1430,5694,1283,0,4257,2099,1489,5612,0,1187
1,GUANABARA - URB,60,17348,12231,60377,10656,305,14628,6090,11510,42243,0,3898
1,GUANABARA - URB,64,12666,8006,37987,6414,160,18358,8382,6815,35290,0,2784
1,GUANABARA - URB,67,3377,2003,9968,1265,68,4062,2158,2025,11808,0,806
1,GUANABARA - URB,70,7935,6280,31267,4239,44,10658,6045,4686,32040,0,2236
1,GUANABARA - URB,72,9305,6010,35246,7604,101,7846,3369,6383,30730,0,2394
1,GUANABARA - URB,75,4840,2812,13615,2161,82,4581,1527,3536,11648,0,986
1,GUANABARA - URB,76,2492,1470,8059,1590,80,3695,887,1569,7423,0,696
1,GUANABARA - URB,77,12658,9923,54354,11851,69,10161,5418,9290,44093,0,3697
1,GUANABARA - URB,79,16801,11240,49769,10694,406,12199,3936,9040,36673,0,3285
1,GUANABARA - URB,81,4311,2755,13726,2657,16,4003,1601,3475,12422,0,1215
1,GUANABARA - URB,84,13357,6907,38869,12483,159,15640,5724,10938,32130,0,3368
1,GUANABARA - URB,101,4296,2728,15012,2927,53,8632,3013,2962,15973,0,1480
1,GUANABARA - URB,102,977,594,3699,596,9,2030,663,783,3599,0,364
1,GUANABARA - URB,125,40,60,456,241,0,275,9,56,416,0,177
1,GUANABARA - URB,592,554,239,1426,239,43,764,207,348,762,0,715
1,GUANABARA - URB,593,2379,647,2643,694,0,1082,408,483,2195,0,914
1,GUANABARA - URB,1029,4160,2788,13234,3184,39,3793,1640,2167,10584,0,978
1,GUANABARA - URB,1214,2246,1658,9074,956,21,4124,1996,1563,8084,0,1028
1,GUANABARA - URB,1301,23,14,53,13,0,19,4,8,52,0,10
1,GUANABARA - URB,1302,36,16,61,35,2,21,11,18,89,0,17
1,GUANABARA - URB,1516,6705,4618,20115,3639,150,8882,4273,4672,21304,0,2193
1,GUANABARA - URB,1778,6024,4275,20098,3779,206,9262,4077,3915,19134,0,1860
1,GUANABARA - URB,2369,537,251,1710,561,0,967,398,445,1094,0,318
1,GUANABARA - URB,6162,2858,1609,7348,997,10,3514,1724,1553,7007,0,992
1,GUANABARA - URB,6443,5268,3247,15937,2976,32,5539,2228,3413,13637,0,1055
1,GUANABARA - URB,7501,2156,1220,5771,1065,0,1833,612,1587,4835,0,480
1,GUANABARA - URB,7502,840,416,1963,375,0,842,322,602,1930,0,258
1,GUANABARA - URB,7601,94,67,224,56,0,134,46,61,341,0,39
1,REUNIDAS,7,12403,6842,43351,9917,202,9159,3397,8830,35059,0,3287
1,REUNIDAS,26,11701,7653,42622,10952,187,7817,3632,7444,31822,0,2665
1,REUNIDAS,27,8800,4866,22398,3280,114,10087,4108,4805,25506,0,2530
1,REUNIDAS,35,11688,5983,30382,8756,1015,12025,5532,8286,23809,0,2478
1,REUNIDAS,68,7244,3599,22750,4683,163,8320,2786,5833,19225,0,2041
1,REUNIDAS,73,26375,22189,112154,30596,603,19818,8792,16560,79731,0,5373
1,REUNIDAS,85,6802,3256,15827,4342,501,8430,3077,3886,12966,0,1845
1,REUNIDAS,1029,13195,8259,42739,10027,117,11065,4260,8057,31977,0,2585
1,REUNIDAS,1778,1396,927,4738,796,41,1714,838,897,3930,0,363
1,REUNIDAS,6443,6263,3766,17688,3300,20,6288,2676,4177,16113,0,739
1,REUNIDAS,7847,10185,7172,28088,5368,37,9985,4576,7153,25950,0,2234
1,REUNIDAS,9018,85,63,523,347,2,347,74,84,372,0,102
1,SANTA MARIA - URB,24,10478,5806,28568,9059,0,11259,4951,7844,22472,0,2567
1,SANTA MARIA - URB,34,2835,1852,7316,2158,1,6911,3232,1897,8092,0,1155
1,SANTA MARIA - URB,36,4105,2725,11168,4151,0,6774,3200,2511,12271,0,2139
1,SANTA MARIA - URB,37,12331,8016,25478,9625,0,11030,5412,7247,25298,0,3037
1,SANTA MARIA - URB,38,21783,13829,48044,13214,93,35158,14821,11649,67089,0,4356
1,SANTA MARIA - URB,39,9378,4900,26287,7527,0,7932,2952,5893,16513,0,2477
1,SANTA MARIA - URB,44,8070,5184,19940,5673,0,11289,5999,5404,20727,0,3127
1,SANTA MARIA - URB,46,10848,8153,25493,11151,1,6863,4784,7041,28562,0,2454
1,SANTA MARIA - URB,48,3882,2979,9387,2712,0,5952,3216,2097,10877,0,1577
1,SANTA MARIA - URB,54,12237,9729,32222,11695,0,10406,6731,7356,34303,0,3430
1,SANTA MARIA - URB,56,4080,3392,27713,11861,0,3925,2169,4136,18901,0,2708
1,SANTA MARIA - URB,66,3873,3438,11891,1512,0,3118,1611,2753,14036,0,2112
1,SANTA MARIA - URB,83,5068,4245,19509,1916,0,4394,1647,3956,20029,0,1492
1,SANTA MARIA - URB,331,6504,3510,15956,3299,77,5232,1685,4820,12931,0,1279
1,SANTA MARIA - URB,332,1463,725,4035,827,0,1271,328,1124,2624,0,533
1,SANTA MARIA - URB,411,1783,935,3907,1441,0,1713,586,1007,3717,0,452
1,SANTA MARIA - URB,412,1263,515,1723,579,0,1150,340,534,1757,0,369
1,SANTA MARIA - URB,561,63,111,2192,316,0,126,6,289,901,0,335
1,VIA SUL - URB,50,19722,13232,69386,17530,214,17538,7060,14050,49553,0,4408
1,VIA SUL - URB,51,12402,7607,24364,8410,3,10730,6175,6909,23806,0,3031
1,VIA SUL - URB,52,9705,6951,22289,6946,0,12097,7191,5569,23140,0,2989
1,VIA SUL - URB,65,5527,3758,14151,3300,0,4735,2128,3552,10640,0,1811
2,CONCEIÇÃO,21,12897,7859,30132,6380,0,16855,6294,6053,33199,0,3437
2,CONCEIÇÃO,30,9632,4516,19630,4990,0,7482,2734,5078,16395,0,2070
2,CONCEIÇÃO,31,11038,4833,20472,6915,0,7499,2607,5475,15662,0,1880
2,CONCEIÇÃO,41,7625,3179,18112,7856,0,5780,2622,4351,11659,0,1701
2,CONCEIÇÃO,59,8202,5707,17979,6160,264,13333,4100,4490,23530,0,2353
2,CONCEIÇÃO,63,27601,13100,44204,14903,1,16986,5157,7545,32622,0,3323
2,CONCEIÇÃO,76,2617,1481,6823,1256,73,3300,842,1312,6926,0,574
2,CONCEIÇÃO,83,4090,3231,13555,1257,0,2923,1009,2697,13579,0,1061
2,CONCEIÇÃO,411,3534,1989,7723,2853,0,3353,1031,2160,7241,0,759
2,CONCEIÇÃO,412,1259,661,1722,527,0,1012,274,448,1718,0,324
2,CONCEIÇÃO,587,659,79,833,614,0,1237,194,417,1192,0,863
2,CONCEIÇÃO,599,6768,3291,15718,5831,38,6587,1075,4800,10777,0,1486
2,CONCEIÇÃO,905,162,143,850,52,0,184,23,85,832,0,174
2,CONCEIÇÃO,2271,11313,7604,24790,4639,0,16708,5667,5564,28877,0,2815
2,CONCEIÇÃO,2369,638,298,1513,746,0,986,366,289,1163,0,350
2,CONCEIÇÃO,3001,1279,623,3133,1178,0,1131,458,760,2214,0,484
2,CONCEIÇÃO,3101,741,312,1842,669,0,506,176,384,1016,0,278
2,CONCEIÇÃO,6301,3945,1981,9861,2148,0,2755,845,1901,6211,0,794
2,CONCEIÇÃO,7601,93,62,263,55,0,168,40,37,382,0,30
2,DUNAS - URB,33,29018,16690,69060,18239,279,19767,6363,16910,55483,0,3852
2,DUNAS - URB,40,22390,13305,47788,15145,120,31127,11101,11652,55532,0,3779
2,DUNAS - URB,57,378,186,1019,644,0,530,289,174,444,0,448
2,DUNAS - URB,331,8647,4215,15503,3085,67,5082,1652,4907,12462,0,1150
2,DUNAS - URB,332,2147,955,4399,943,0,1200,368,1219,2666,0,564
2,DUNAS - URB,411,1402,882,3360,1268,0,1563,638,1008,3065,0,389
2,DUNAS - URB,412,1276,639,1808,546,0,1046,285,450,1772,0,308
2,GUANABARA - URB,2,12655,7355,35725,6711,308,9015,3216,6166,24704,0,2376
2,GUANABARA - URB,4,6773,5178,26563,5076,0,3979,2041,3933,16409,0,1778
2,GUANABARA - URB,5,3608,2383,11771,1350,49,3967,1699,2003,11533,0,1240
2,GUANABARA - URB,8,19460,11781,53258,18564,666,19143,5948,9343,42306,0,3103
2,GUANABARA - URB,13,3512,1891,7341,1645,91,3424,1121,1655,7147,0,1240
2,GUANABARA - URB,18,318,96,678,177,1,98,40,118,241,0,72
2,GUANABARA - URB,19,3641,2729,10737,2797,0,8369,3252,2032,10945,0,1531
2,GUANABARA - URB,20,4771,2769,9799,2058,0,9346,4493,2326,11212,0,1726
2,GUANABARA - URB,25,3723,1902,5512,1238,0,3778,1915,1283,5533,0,1072
2,GUANABARA - URB,60,21828,12470,55163,10402,298,13945,5270,10544,38655,0,3439
2,GUANABARA - URB,64,14870,8479,35028,5974,126,16907,7044,6404,33929,0,2404
