Mês,Empresa,Linha,Estudante_Cartao,Estudante_BT,Vale_Transporte,Integracao_Plena,Integracao_Complementar,Gratuito_Cartao,Gratuito_BT,Inteira_Cartao,Inteira_Especie,Tarifa_Social,Qtd_Viagens
1,CONCEIÇÃO,21,13493,9506,35944,8671,0,17138,7397,6542,43727,3965,3684
1,CONCEIÇÃO,22,4644,3371,13088,3230,0,8109,3157,2529,15363,0,1737
1,CONCEIÇÃO,30,8519,5614,20580,5346,0,7265,3191,4415,21507,1537,2500
1,CONCEIÇÃO,31,9631,6020,23460,7587,0,7065,2922,5491,22212,140,2478
1,CONCEIÇÃO,41,6556,4038,20388,7924,0,5704,2791,3883,13870,0,2296
1,CONCEIÇÃO,59,8184,6086,22623,7332,0,13514,4373,4622,29075,4573,2650
1,CONCEIÇÃO,63,21918,14054,44118,14630,0,15034,5771,7765,39855,3182,3768
1,CONCEIÇÃO,71,7188,5395,19626,4209,0,10865,4075,3608,23923,3773,2389
1,CONCEIÇÃO,76,2886,1734,7298,1545,59,3494,1200,1507,8698,907,627
1,CONCEIÇÃO,83,4386,3932,14967,1194,0,3207,1125,2573,17649,2491,1284
1,CONCEIÇÃO,411,5208,2869,10397,4330,0,4723,1654,2676,11043,580,1095
1,CONCEIÇÃO,587,0,0,0,0,0,0,0,0,0,0,1
1,CONCEIÇÃO,599,5074,3082,15716,5740,0,4865,782,3304,10176,724,1582
1,CONCEIÇÃO,905,155,79,890,38,0,249,32,52,522,491,249
1,CONCEIÇÃO,2369,561,423,1550,1150,0,1000,465,395,1600,0,397
1,CONCEIÇÃO,3001,1718,1112,4795,1722,0,1535,807,1068,3928,463,725
1,CONCEIÇÃO,3101,772,610,2312,937,0,711,283,521,1897,0,343
1,CONCEIÇÃO,6301,3788,2814,10663,2287,0,3190,1201,1676,8922,1264,1111
1,CONCEIÇÃO,7601,120,37,219,35,0,142,67,24,271,682,40
1,DUNAS - URB,33,27684,22323,74603,20083,0,20022,7201,15832,70311,6722,5137
1,DUNAS - URB,40,21711,15705,53588,18682,0,31767,12618,11818,71739,4968,4680
1,DUNAS - URB,57,1198,787,2733,945,0,1261,484,846,2761,0,559
1,DUNAS - URB,98,0,0,0,0,0,0,0,0,0,0,1
1,DUNAS - URB,331,8949,5529,19698,3982,0,5555,2179,5697,18949,0,1562
1,DUNAS - URB,332,1896,1172,4812,949,0,1032,400,1149,2990,423,600
1,DUNAS - URB,411,3666,2011,7818,3422,0,3052,952,1730,7760,668,761
1,DUNAS - URB,738,0,0,0,0,0,0,0,0,0,0,1
1,DUNAS - URB,740,0,0,0,0,0,0,0,0,0,0,1
1,DUNAS - URB,7451,0,0,0,0,0,0,0,0,0,0,1
1,DUNAS - URB,7452,0,0,0,0,0,0,0,0,0,0,2
1,GUANABARA - URB,2,10702,7510,37134,7092,158,8312,3802,5937,28987,1931,2445
1,GUANABARA - URB,4,7237,7156,32820,7158,1,4705,2640,3568,22806,2002,2343
1,GUANABARA - URB,5,5090,3045,14851,2248,59,5185,2669,2280,18362,1525,1481
1,GUANABARA - URB,8,16848,12036,50867,18887,515,19206,6790,9362,47169,7389,3347
1,GUANABARA - URB,13,944,512,2143,518,12,925,341,509,2597,0,438
1,GUANABARA - URB,18,199,96,880,143,0,202,94,155,359,0,93
1,GUANABARA - URB,19,4205,3362,13615,4285,4,9673,4568,3369,16279,913,1923
1,GUANABARA - URB,20,5648,4190,14512,4744,1,12172,6629,3933,18556,962,2373
1,GUANABARA - URB,25,3657,2578,7990,2444,0,4942,2907,1771,9839,0,1421
1,GUANABARA - URB,60,20004,13821,61848,11590,275,13578,5944,10217,47541,3852,3613
1,GUANABARA - URB,64,16643,10173,44453,9273,178,19314,9554,7609,47211,3702,3453
1,GUANABARA - URB,67,4947,3034,14153,2152,63,4802,2439,2301,18196,665,1301
1,GUANABARA - URB,70,10256,7138,32410,4915,54,9859,6312,5148,35015,2860,2896
1,GUANABARA - URB,72,9701,6980,33918,8163,94,7317,3257,5897,34500,2757,2414
1,GUANABARA - URB,75,8457,4805,19393,3743,122,6595,2457,5100,21752,1542,2125
1,GUANABARA - URB,76,2737,1859,7273,1474,48,3604,1077,1317,8160,904,628
1,GUANABARA - URB,77,14196,11711,54714,12710,74,9094,5130,7930,46505,4076,3792
1,GUANABARA - URB,79,16654,12194,47462,10692,292,11109,4181,7695,39931,4529,3161
1,GUANABARA - URB,81,5383,3093,12522,2654,23,3876,1564,3361,14469,524,1486
1,GUANABARA - URB,84,15347,8499,41744,14205,208,13802,5906,11200,38560,4404,3500
1,GUANABARA - URB,101,3912,2766,11754,2593,49,6558,2452,2391,15960,1455,1265
1,GUANABARA - URB,102,2027,1328,6453,1398,16,3852,1281,1433,8509,934,630
1,GUANABARA - URB,592,817,342,1855,364,52,838,266,363,1295,155,844
1,GUANABARA - URB,593,1797,895,2215,492,0,1090,298,529,3133,183,734
1,GUANABARA - URB,1029,5022,3564,14702,3898,53,3689,1564,2573,12353,1375,943
1,GUANABARA - URB,1214,3469,2386,11845,1970,10,4982,2951,2159,11354,0,1614
1,GUANABARA - URB,1301,2792,1589,6673,1762,81,3028,1298,1754,8878,0,1371
1,GUANABARA - URB,1302,109,61,206,64,3,87,42,48,326,0,46
1,GUANABARA - URB,1516,8715,5932,22428,4712,164,8888,4605,5043,26696,1958,2034
1,GUANABARA - URB,1778,8001,5606,23054,5432,146,9021,4824,4764,24780,1123,2109
1,GUANABARA - URB,2369,608,427,1973,720,0,908,394,423,1693,0,396
1,GUANABARA - URB,6162,4428,2523,9935,1744,37,4034,2265,2113,10207,528,1624
1,GUANABARA - URB,6443,6334,3930,16608,3383,9,5265,2291,3625,15764,1473,1118
1,GUANABARA - URB,7501,92,66,945,42,0,189,22,342,289,0,38
1,GUANABARA - URB,7502,805,473,1796,383,0,710,310,457,2302,0,189
1,GUANABARA - URB,7601,173,90,351,91,0,234,76,52,580,442,43
1,REUNIDAS,7,13130,8374,48587,11738,172,9281,3497,8449,39188,3761,3580
1,REUNIDAS,26,16306,13191,52962,14959,174,8405,4374,8904,44674,4667,3435
1,REUNIDAS,27,10416,5624,26393,5463,115,11036,4581,5881,30846,3790,3082
1,REUNIDAS,35,14300,8069,35898,11112,813,13376,6317,9356,30393,2981,2757
1,REUNIDAS,68,8916,4619,25973,5597,143,8513,3047,6133,25248,1927,2379
1,REUNIDAS,73,28651,26224,109054,31024,384,17342,9219,14829,83849,10139,5191
1,REUNIDAS,85,9871,4537,18944,5720,580,9320,4060,5593,19144,0,2187
1,REUNIDAS,1029,14709,10110,44614,12378,107,10595,4329,7710,34645,3601,2754
1,REUNIDAS,1778,2019,1367,6035,1236,29,1958,979,1096,5531,1084,595
1,REUNIDAS,6443,6513,3888,17518,3994,7,5543,2303,4189,16545,1680,1141
1,REUNIDAS,7847,13412,9344,33392,7185,84,10822,4716,8496,33558,4060,2662
1,REUNIDAS,9018,13,23,274,447,0,377,9,27,215,30,94
1,SANTA MARIA - URB,24,12272,7761,32366,11712,0,10384,5396,8682,29716,960,3369
1,SANTA MARIA - URB,34,4581,3175,10317,3320,0,8436,4382,2684,13664,0,1642
1,SANTA MARIA - URB,36,5188,3961,15486,5544,0,8122,3762,3304,17710,1528,2108
1,SANTA MARIA - URB,37,15973,13861,29821,11368,0,11552,6320,8062,34865,1780,3666
1,SANTA MARIA - URB,38,21493,15394,47010,13389,0,30727,14362,10733,70146,7300,4370
1,SANTA MARIA - URB,39,11847,7524,31617,9293,0,8434,3625,6428,23244,1250,3318
1,SANTA MARIA - URB,44,10423,8871,24632,7502,0,12389,6980,6509,29383,1376,3398
1,SANTA MARIA - URB,46,13216,12504,27681,12297,0,6787,5009,7025,36598,2613,2933
1,SANTA MARIA - URB,48,7800,6288,14389,5570,0,7993,4339,3304,19739,1926,2136
1,SANTA MARIA - URB,54,15427,14123,34835,12859,0,10901,7689,7531,46445,4291,3586
1,SANTA MARIA - URB,56,4868,3550,28279,12786,0,3341,1724,3926,22846,1556,2446
1,SANTA MARIA - URB,66,4485,4450,14160,1774,0,3294,1780,2793,18434,2148,2216
1,SANTA MARIA - URB,83,4634,4005,16881,1327,0,3659,1308,2639,18402,2549,1406
1,SANTA MARIA - URB,331,6611,3804,15197,3200,0,3927,1486,4273,12956,2329,1342
1,SANTA MARIA - URB,332,1560,903,3699,891,0,936,395,944,2650,128,544
1,SANTA MARIA - URB,411,3703,2037,7379,2800,0,3395,1093,1797,7971,662,760
1,SANTA MARIA - URB,561,74,133,2347,475,0,142,0,232,762,41,312
1,VIA SUL - URB,50,21051,15801,67308,19055,123,14408,7133,11952,52974,4153,4824
1,VIA SUL - URB,51,11934,10293,22966,8158,0,9196,5061,6286,26821,807,3305
1,VIA SUL - URB,52,10095,8637,21692,6954,0,10518,6146,5386,27179,1395,3212
1,VIA SUL - URB,65,6040,5023,13211,3899,0,4208,1977,3206,12702,0,1788
2,CONCEIÇÃO,21,16306,10083,32438,8077,0,15531,6879,6463,40613,1566,3427
2,CONCEIÇÃO,22,5791,3447,11859,2818,0,7473,2933,2150,14547,0,1545
2,CONCEIÇÃO,30,11796,6670,19350,5150,0,6736,3114,4424,20352,587,2265
2,CONCEIÇÃO,31,13811,7279,20240,7482,0,6779,2964,5200,20300,0,2144
