Mês,Empresa,Linha,Estudante_Cartao,Estudante_BT,Vale_Transporte,Integracao_Plena,Integracao_Complementar,Gratuito_Cartao,Gratuito_BT,Inteira_Cartao,Inteira_Especie,Tarifa_Social,Qtd_Viagens
1,CONCEIÇÃO,21,5778,3060,28749,4157,40,10855,4255,5573,26227,0,2204
1,CONCEIÇÃO,30,3566,1426,16538,3998,18,3672,1369,4448,11106,0,1335
1,CONCEIÇÃO,41,707,235,3116,1105,23,687,340,681,1642,0,275
1,CONCEIÇÃO,59,4434,2538,18924,3711,54,9145,3515,3695,18178,0,1625
1,CONCEIÇÃO,63,9222,4261,41693,8329,39,10312,3470,7734,27793,0,2578
1,CONCEIÇÃO,76,1604,638,7141,1295,28,2439,653,1334,5150,0,485
1,CONCEIÇÃO,83,2169,1537,14500,991,0,2152,941,2938,14657,0,980
1,CONCEIÇÃO,411,3821,1161,10039,3135,0,2961,1041,2749,7927,0,780
1,CONCEIÇÃO,587,378,36,466,154,0,369,90,192,268,0,157
1,CONCEIÇÃO,589,142,6,492,295,0,308,107,176,133,0,239
1,CONCEIÇÃO,599,4655,1260,14592,5202,54,3530,722,4317,8146,0,1131
1,CONCEIÇÃO,905,320,242,3936,225,0,143,35,422,1609,0,182
1,CONCEIÇÃO,2271,3779,1945,16714,1932,0,8105,2925,3204,15370,0,1458
1,CONCEIÇÃO,5901,20,2,63,5,0,34,5,21,19,0,21
1,DUNAS - URB,33,14311,6140,58358,13749,146,11130,3895,13142,39028,0,2175
1,DUNAS - URB,40,10235,3933,30183,6929,75,14857,5120,6406,30218,0,1870
1,DUNAS - URB,331,2553,1082,9461,1562,51,2308,820,2693,7018,0,533
1,DUNAS - URB,332,647,208,2442,403,0,399,142,793,1297,0,396
1,DUNAS - URB,411,1057,356,2794,1607,0,911,357,751,2259,0,223
1,GUANABARA - URB,2,3936,1842,22305,4723,110,4976,1866,3679,11014,0,1470
1,GUANABARA - URB,4,2934,1760,21486,2961,0,2638,1157,2753,11387,0,1225
1,GUANABARA - URB,5,3749,1752,16124,1547,24,4611,2256,2781,14167,0,1382
1,GUANABARA - URB,8,10984,3675,42984,12341,426,10261,3361,7016,23095,0,2038
1,GUANABARA - URB,15,5078,2631,22616,3106,90,7893,3382,4551,18263,0,833
1,GUANABARA - URB,17,1053,617,5565,785,28,1836,799,951,4137,0,307
1,GUANABARA - URB,19,909,385,4264,735,2,2269,943,926,3606,0,518
1,GUANABARA - URB,25,997,387,5256,772,1,2063,995,1054,3576,0,652
1,GUANABARA - URB,29,2418,1021,11617,2629,8,2181,780,1992,6710,0,553
1,GUANABARA - URB,43,2772,1387,13937,2473,3,3379,1095,2537,9757,0,677
1,GUANABARA - URB,60,8187,3879,41092,6119,117,7720,2980,7764,24893,0,1943
1,GUANABARA - URB,64,7089,3292,30115,3911,68,10475,4190,5338,23423,0,1323
1,GUANABARA - URB,70,2210,1368,14759,1466,10,3646,1762,1790,9607,0,795
1,GUANABARA - URB,72,4814,2127,25876,4575,31,3941,1555,4657,17340,0,1413
1,GUANABARA - URB,75,3215,1184,12584,1870,0,2833,1014,3264,9168,0,718
