Mês,Empresa,Linha,Qtd_Viagens,Ano,Data,Inteira,Estudante,Gratuidade,Social,Integracao,Qtd_Passageiros,Eficiencia
May,SANTA MARIA - URB,83,782,2022,2022-05-01,28179,7509,3203,933,1225,41049,52.4923273657289
May,SANTA MARIA - URB,331,574,2022,2022-05-01,19722,6619,3189,768,2043,32341,56.34320557491289
May,SANTA MARIA - URB,332,272,2022,2022-05-01,3969,2047,671,165,643,7495,27.55514705882353
May,SANTA MARIA - URB,411,624,2022,2022-05-01,19441,8652,4026,965,2677,35761,57.30929487179487
May,VIA SUL - URB,50,3714,2022,2022-05-01,150625,54169,26530,6601,21465,259390,69.84114162627894
May,VIA SUL - URB,51,1504,2022,2022-05-01,39839,21871,9626,2913,6665,80914,53.799202127659576
May,VIA SUL - URB,52,1347,2022,2022-05-01,39946,17947,12026,3782,6457,80158,59.508537490720116
June,CONCEIÇÃO,21,2341,2022,2022-06-01,76869,18342,19599,4951,5872,125633,53.666381888082014
June,CONCEIÇÃO,30,1534,2022,2022-06-01,42531,13970,7137,1682,5784,71104,46.352020860495436
June,CONCEIÇÃO,59,1692,2022,2022-06-01,50521,13526,15966,3915,4829,88757,52.45685579196218
June,CONCEIÇÃO,63,2896,2022,2022-06-01,98230,32435,18556,4090,11061,164372,56.75828729281768
June,CONCEIÇÃO,76,182,2022,2022-06-01,5943,1352,1267,237,640,9439,51.862637362637365
June,CONCEIÇÃO,83,938,2022,2022-06-01,32790,6600,3477,944,1169,44980,47.953091684434966
June,CONCEIÇÃO,411,808,2022,2022-06-01,24023,7164,4897,1168,3518,40770,50.45792079207921
June,CONCEIÇÃO,587,270,2022,2022-06-01,1630,1470,871,120,241,4332,16.044444444444444
June,CONCEIÇÃO,589,287,2022,2022-06-01,1140,287,535,96,492,2550,8.885017421602788
June,CONCEIÇÃO,599,1118,2022,2022-06-01,30721,9664,5155,842,5621,52003,46.514311270125226
June,CONCEIÇÃO,905,120,2022,2022-06-01,3892,522,137,12,189,4752,39.6
June,CONCEIÇÃO,2271,1503,2022,2022-06-01,44432,13349,13451,3359,2410,77001,51.231536926147704
June,DUNAS - URB,33,2357,2022,2022-06-01,138642,46014,19607,5199,17856,227318,96.44378447178617
June,DUNAS - URB,40,2148,2022,2022-06-01,86309,24276,27079,6684,9807,154155,71.76675977653632
June,DUNAS - URB,331,538,2022,2022-06-01,20835,5746,3356,783,1767,32487,60.38475836431227
June,DUNAS - URB,332,524,2022,2022-06-01,7743,3057,1263,361,1325,13749,26.23854961832061
June,DUNAS - URB,411,340,2022,2022-06-01,10130,2959,2111,585,2647,18432,54.21176470588235
June,GUANABARA - URB,2,1172,2022,2022-06-01,42786,9881,8999,2131,6091,69888,59.63139931740614
June,GUANABARA - URB,4,1333,2022,2022-06-01,42313,10039,4407,1344,3673,61776,46.34358589647412
June,GUANABARA - URB,5,1807,2022,2022-06-01,48433,8596,9463,2820,2285,71597,39.62202545655783
June,GUANABARA - URB,8,2546,2022,2022-06-01,101256,33021,19804,4542,19934,178557,70.13236449332285
June,GUANABARA - URB,15,1272,2022,2022-06-01,66419,15970,17308,4949,5126,109772,86.29874213836477
June,GUANABARA - URB,25,895,2022,2022-06-01,17627,5041,4758,1440,1121,29987,33.50502793296089
June,GUANABARA - URB,29,883,2022,2022-06-01,31898,9574,5912,1528,4139,53051,60.080407701019254
June,GUANABARA - URB,43,1059,2022,2022-06-01,43351,10574,8491,1860,4839,69115,65.26440037771482
June,GUANABARA - URB,60,2279,2022,2022-06-01,88920,25227,14358,3627,8178,140310,61.566476524791575
June,GUANABARA - URB,64,1587,2022,2022-06-01,69969,17486,17591,4868,4489,114403,72.08758664146188
June,GUANABARA - URB,70,1475,2022,2022-06-01,34019,6816,6698,2166,2015,51714,35.06033898305085
June,GUANABARA - URB,72,1674,2022,2022-06-01,57703,13229,6909,1994,5877,85712,51.20191158900836
June,GUANABARA - URB,75,922,2022,2022-06-01,33424,8738,5271,1289,2535,51257,55.593275488069416
June,GUANABARA - URB,77,2819,2022,2022-06-01,103281,23990,11504,3283,11024,153082,54.30365377793544
June,GUANABARA - URB,79,2336,2022,2022-06-01,85627,28925,12059,2831,8551,137993,59.07234589041096
June,GUANABARA - URB,84,2133,2022,2022-06-01,72638,17449,15482,3498,8175,117242,54.965775902484765
June,GUANABARA - URB,593,688,2022,2022-06-01,2731,2101,801,129,242,6004,8.726744186046512
June,REUNIDAS,7,2541,2022,2022-06-01,91474,22157,11893,3219,9966,138709,54.5883510428965
June,REUNIDAS,26,491,2022,2022-06-01,13211,4296,2040,603,2124,22274,45.36456211812627
June,REUNIDAS,27,1431,2022,2022-06-01,47477,10299,10609,3182,2725,74292,51.916142557651995
June,REUNIDAS,29,1638,2022,2022-06-01,58945,16991,9896,2665,7108,95605,58.366910866910864
June,REUNIDAS,35,2056,2022,2022-06-01,78222,23705,15824,4302,11306,133359,64.86332684824903
June,REUNIDAS,43,965,2022,2022-06-01,37587,8488,6717,1598,3577,57967,60.06943005181347
June,REUNIDAS,73,5730,2022,2022-06-01,275893,70593,30503,8785,42462,428236,74.73577661431065
June,REUNIDAS,78,765,2022,2022-06-01,23326,6416,2685,755,1663,34845,45.549019607843135
June,SANTA MARIA - URB,24,1477,2022,2022-06-01,49926,13228,9187,2627,7118,82086,55.576167907921466
June,SANTA MARIA - URB,37,1661,2022,2022-06-01,41297,19098,9236,2835,7634,80100,48.22396146899458
June,SANTA MARIA - URB,38,3968,2022,2022-06-01,150347,40678,52502,14185,15783,273495,68.92515120967742
June,SANTA MARIA - URB,39,1766,2022,2022-06-01,50550,15793,8662,2169,8597,85771,48.567950169875424
June,SANTA MARIA - URB,46,2996,2022,2022-06-01,92929,34147,13324,4683,21064,166147,55.456275033377835
